Vaughan Metropolitan Centre,2022-08-30 06:00,South
Highway 407,2022-08-30 06:01,South
Pioneer Village,2022-08-30 06:03,South
York University,2022-08-30 06:05,South
Finch West,2022-08-30 06:08,South
Downsview Park,2022-08-30 06:11,South
Sheppard West,2022-08-30 06:14,South
Wilson,2022-08-30 06:17,South
Yorkdale,2022-08-30 06:18,South
Lawrence West,2022-08-30 06:19,South
Glencairn,2022-08-30 06:22,South
Eglinton West,2022-08-30 06:25,South
St. Clair West,2022-08-30 06:28,South
Dupont,2022-08-30 06:31,South
Spadina,2022-08-30 06:33,South
St. George,2022-08-30 06:36,South
Museum,2022-08-30 06:39,South
Queen's Park,2022-08-30 06:41,South
St. Patrick,2022-08-30 06:42,South
Osgoode,2022-08-30 06:45,South
St. Andrew,2022-08-30 06:48,South
Union,2022-08-30 06:50,South
King,2022-08-30 06:51,South
Queen,2022-08-30 06:54,South
Dundas,2022-08-30 06:57,South
College,2022-08-30 07:00,South
Wellesley,2022-08-30 07:02,South
Bloor-Yonge,2022-08-30 07:03,South
Rosedale,2022-08-30 07:05,South
Summerhill,2022-08-30 07:06,South
St. Clair,2022-08-30 07:09,South
Davisville,2022-08-30 07:12,South
Eglinton,2022-08-30 07:15,South
Lawrence,2022-08-30 07:18,South
York Mills,2022-08-30 07:21,South
Sheppard-Yonge,2022-08-30 07:24,South
North York Centre,2022-08-30 07:27,South
Finch,2022-08-30 07:28,South
Finch,2022-08-30 06:00,North
North York Centre,2022-08-30 06:01,North
Sheppard-Yonge,2022-08-30 06:04,North
York Mills,2022-08-30 06:07,North
Lawrence,2022-08-30 06:10,North
Eglinton,2022-08-30 06:13,North
Davisville,2022-08-30 06:16,North
St. Clair,2022-08-30 06:19,North
Summerhill,2022-08-30 06:22,North
Rosedale,2022-08-30 06:23,North
Bloor-Yonge,2022-08-30 06:25,North
Wellesley,2022-08-30 06:26,North
College,2022-08-30 06:28,North
Dundas,2022-08-30 06:31,North
Queen,2022-08-30 06:34,North
King,2022-08-30 06:37,North
Union,2022-08-30 06:38,North
St. Andrew,2022-08-30 06:40,North
Osgoode,2022-08-30 06:43,North
St. Patrick,2022-08-30 06:46,North
Queen's Park,2022-08-30 06:47,North
Museum,2022-08-30 06:49,North
St. George,2022-08-30 06:52,North
Spadina,2022-08-30 06:55,North
Dupont,2022-08-30 06:57,North
